"Season","Id","Name","Position","Team","Conference","CountablePlays","AveragePPA All","AveragePPA Pass","AveragePPA Rush","TotalPPA All","TotalPPA Pass","TotalPPA Rush"
"2023","4718457","Noah Thomas","WR","Texas A&M","SEC","10","1.397","1.397","","13.974","13.974",""
"2023","4879677","Ashtyn Hawkins","WR","Texas State","Sun Belt","8","1.405","1.405","","11.243","11.243",""
"2023","4870768","Jaden Greathouse","WR","Notre Dame","FBS Independents","7","1.416","1.416","","9.909","9.909",""
"2023","4602667","Jaylin Lane","WR","Virginia Tech","ACC","9","1.425","1.425","","12.822","12.822",""
"2023","4428063","Tre Mosley","WR","Michigan State","Big Ten","6","1.426","1.426","","8.558","8.558",""
"2023","4429466","Drake Dabney","TE","Baylor","Big 12","9","1.427","1.427","","12.84","12.84",""
"2023","5083076","Harold Fannin","TE","Bowling Green","Mid-American","10","1.432","1.362","2.061","14.321","12.26","2.061"
"2023","4360978","David Martin-Robinson","TE","Temple","American Athletic","6","1.452","1.452","","8.711","8.711",""
"2023","4431280","Troy Franklin","WR","Oregon","Pac-12","12","1.453","1.453","","17.439","17.439",""
"2023","4710855","Konata Mumpfield","WR","Pittsburgh","ACC","6","1.453","1.453","","8.716","8.716",""
"2023","5096863","Kole Wilson","WR","Texas State","Sun Belt","9","1.455","1.455","","13.096","13.096",""
"2023","4683543","RJ Garcia II","WR","Kansas State","Big 12","7","1.498","1.498","","10.485","10.485",""
"2023","4912286","Iverson Hooks","WR","UAB","American Athletic","9","1.517","1.699","0.059","13.65","13.591","0.059"
"2023","4569181","Kyle Maxwell","WR","Louisiana Tech","Conference USA","5","1.527","1.527","","7.637","7.637",""
"2023","5084133","Alex Perry","WR","Hawai'i","Mountain West","8","1.531","1.531","","12.244","12.244",""
"2023","4711055","Dorian Singer","WR","USC","Pac-12","7","1.545","1.545","","10.814","10.814",""
"2023","4877706","Jayden Higgins","WR","Iowa State","Big 12","9","1.547","1.547","","13.925","13.925",""
"2023","4361319","Erik Brooks","WR","Fresno State","Mountain West","15","1.556","1.556","","23.334","23.334",""
"2023","4687561","Cole Harrity","WR","Buffalo","Mid-American","5","1.573","1.573","","7.864","7.864",""
"2023","4608810","Tez Johnson","WR","Oregon","Pac-12","7","1.584","1.584","","11.088","11.088",""
"2023","4689855","Isaiah Alston","WR","Army","FBS Independents","11","1.59","1.59","","17.488","17.488",""
"2023","4569086","Charles Ross","WR","San José State","Mountain West","6","1.607","1.607","","9.644","9.644",""
"2023","4608793","Jabre Barber","WR","Troy","Sun Belt","5","1.615","1.615","","8.075","8.075",""
"2023","4362503","Dee Wiggins","WR","Cincinnati","Big 12","5","1.623","1.838","0.765","8.116","7.35","0.765"
"2023","4912218","Cyrus Allen","WR","Louisiana Tech","Conference USA","6","1.623","1.623","","9.737","9.737",""
"2023","4685424","Dane Key","WR","Kentucky","SEC","7","1.629","1.629","","11.403","11.403",""
"2023","5082289","Kelly Akharaiyi","WR","UTEP","Conference USA","10","1.65","1.65","","16.496","16.496",""
"2023","4427601","Ali Jennings","WR","Virginia Tech","ACC","5","1.658","1.658","","8.289","8.289",""
"2023","4430637","Ja'Lynn Polk","WR","Washington","Pac-12","10","1.666","1.403","4.036","16.661","12.625","4.036"
"2023","4571935","Jahmal Banks","WR","Wake Forest","ACC","10","1.667","1.667","","16.671","16.671",""
"2023","5084135","Pofele Ashlock","WR","Hawai'i","Mountain West","18","1.683","1.683","","30.297","30.297",""
"2023","4430804","Chris Tyree","RB","Notre Dame","FBS Independents","6","1.699","1.699","","10.192","10.192",""
"2023","4838696","Dae'Quan Wright","TE","Virginia Tech","ACC","5","1.7","1.7","","8.502","8.502",""
"2023","4430190","Griffin Moore","TE","Illinois","Big Ten","5","1.708","1.882","1.011","8.54","7.529","1.011"
